pl_name
"K2-415 b"
"K2-406 b"
"K2-32 b"
"K2-351 b"
"K2-250 b"
"K2-90 b"
"K2-381 d"
"K2-224 b"
"K2-169 b"
"K2-253 b"
"K2-64 b"
"K2-379 b"
"K2-243 c"
"K2-249 b"
"EPIC 211822797 b"
"K2-168 b"
"K2-292 b"
"K2-16 b"
"K2-246 b"
"K2-117 c"
"K2-238 b"
"K2-35 c"
"K2-34 b"
"EPIC 205950854 c"
"K2-266 b"
"WASP-118 b"
"EPIC 206024342 c"
"TRAPPIST-1 g"
"K2-207 b"
"K2-52 b"
"K2-147 b"
"K2-265 b"
"K2-320 b"
"K2-247 c"
"K2-69 b"
"EPIC 201833600 c"
"HATS-43 b"
"HATS-45 b"
"HD 189733 b"
"LHS 1140 c"
"HD 25463 c"
"TOI-1410 c"
"TOI-1249 b"
"2MASS J19383260+4603591 b"
"HD 134606 e"
"Kepler-32 f"
"HD 188641 b"
"Kepler-423 b"
"KOI-142 c"
"HATS-15 b"
"GJ 3341 b"
"GJ 581 b"
"G 264-012 b"
"GJ 3293 d"
"GJ 3998 c"
"BD-08 2823 b"
"BD-10 3166 b"
"GJ 720 A b"
"BD-13 2130 b"
"HD 215152 d"
"AB Pic b"
"CoRoT-7 d"
"KMT-2021-BLG-1105L b"
"OGLE2-TR-L9 b"
"GJ 229 b"
"HD 105618 c"
"55 Cnc c"
"55 Cnc e"
"TOI-837 b"
"PDS 70 b"
"TOI-1181 b"
"GJ 357 b"
"WASP-124 b"
"HAT-P-3 b"
"BD-17 63 b"
"GJ 876 b"
"GJ 876 c"
"GJ 876 d"
"GJ 876 e"
"HD 111232 b"
"HD 132406 b"
"HD 142 b"
"HD 164604 b"
"HD 175167 b"
"HD 81040 b"
"HR 810 b"
"HD 142 c"
"TOI-2379 b"
"TOI-2384 b"
"HD 111232 c"
"HD 142 A d"
"Kepler-1491 c"
"Kepler-1979 b"
"HD 158259 e"
"WASP-3 b"
"HAT-P-11 c"
"TOI-5398 c"
"CFBDSIR J145829+101343 b"
"CoRoT-14 b"
"GJ 180 c"
"HD 136118 b"
"HD 153557 b"
"HD 155918 b"
"HD 156098 b"
"GJ 3138 d"
"HD 134060 c"
"GJ 433 b"
"GJ 433 d"
"CoRoT-30 b"
"OGLE-2018-BLG-0532L b"
"OGLE-2018-BLG-0383L b"
"KMT-2021-BLG-0322L b"
"TOI-1680 b"
"KOI-351 c"
"Kepler-30 d"
"HD 10180 d"
"HD 102272 b"
"HD 42618 b"
"OGLE-2018-BLG-0962L b"
"HD 110014 b"
"HD 131496 b"
"TOI-1855 b"
"HD 37605 b"
"HD 40307 d"
"HD 75289 b"
"HD 73526 c"
"HD 46375 b"
"HD 7924 c"
"G 264-012 c"
"HD 23127 b"
"HD 233832 b"
"HD 238090 b"
"HD 30856 b"
"HD 212301 b"
"HD 196050 b"
"HD 215497 c"
"HD 28254 b"
"TOI-1227 b"
"TOI-500 d"
"DMPP-3 A b"
"Kepler-167 c"
"HD 13808 b"
"HD 4208 b"
"nu Oct A b"
"HD 69830 b"
"HD 180053 b"
"WTS-2 b"
"HAT-P-18 b"
"KELT-7 b"
"GJ 667 C g"
"HATS-68 b"
"HD 134606 f"
"HATS-17 b"
"Kepler-11 e"
"HD 181342 b"
"HD 181433 b"
"HD 187123 c"
"HD 191939 b"
"bet Pic b"
"PDS 70 c"
"2MASS J12073346-3932539 b"
"TOI-1064 c"
"HD 125612 b"
"Kepler-129 b"
"Kepler-104 d"
"HD 205739 b"
"HD 20868 b"
"HD 211810 b"
"Kepler-165 c"
"Kepler-100 e"
"KOI-351 h"
"Kepler-102 d"
"4 UMa b"
"HD 21411 b"
"HD 73526 b"
"HD 73534 b"
"GJ 411 b"
"GJ 687 b"
"GJ 887 b"
"HD 64114 b"
"HD 220842 b"
"HD 221585 b"
"HD 238914 b"
"HD 73267 c"
"HD 20781 b"
"HD 67087 c"
"HD 65216 c"
"HD 290327 b"
"HD 151450 b"
